Date,Open,High,Low,Close,Volume,Change
2017-07-31,20573,24286,19588,24086,11129888,0.17223256885697524
2017-08-31,24385,25089,21375,24688,16682717,0.027371567026524546
2017-09-30,24688,29103,23583,28903,17764571,0.16262538466883114
2017-10-31,29504,33720,27396,28903,16870439,0.007345325987989093
2017-11-30,29103,33318,27095,27397,22313620,-0.04767113557031255
2017-12-31,27397,29103,25089,27498,13205484,0.013223813970193787
2018-01-31,28100,32616,26695,28100,28583282,0.031949424877399046
2018-02-28,28100,29101,23382,25691,17713585,-0.08113572204051522
2018-03-31,25390,28702,24688,26494,14440182,0.03882100491348539
2018-04-30,26594,26795,22077,22279,10477675,-0.16932187556957412
2018-05-31,22179,23884,20673,20774,8599510,-0.06595572399995886
2018-06-30,20773,23182,20773,22982,6608675,0.10562227298000992
2018-07-31,23180,24084,22378,22580,8288415,-0.014513524842553749
2018-08-31,22579,25990,22278,25089,11916271,0.11089536257852084
2018-09-30,25089,25189,23282,23885,6019921,-0.04712639194793333
2018-10-31,24084,24786,17260,18385,9264648,-0.2540518741261405
2018-11-30,18464,22881,18444,22580,6362718,0.21113445625942118
2018-12-31,22982,23584,19669,20673,6189345,-0.08343001499727964
2019-01-31,20774,21474,19769,19931,7256378,-0.03445621580269442
2019-02-28,19951,21376,18725,20774,9030135,0.04429064005573746
2019-03-31,21174,21978,20071,20774,7270819,0.004292799098715383
2019-04-30,20772,24286,20071,24086,9623287,0.15432095417069425
2019-05-31,24085,27295,23985,24989,20384782,0.04278435205316111
2019-06-30,24786,26794,23382,26394,8892016,0.05789399603457901
2019-07-31,26592,27698,24989,25491,10965107,-0.03150684950745841
2019-08-31,25289,27197,23584,26996,9204163,0.06040983489931262
2019-09-30,26895,27899,26292,27197,7389378,0.009856608333177586
2019-10-31,27296,29103,25791,28401,8652167,0.04516837376179306
2019-11-30,28602,31913,28501,31211,10187548,0.09573087578592143
2019-12-31,31311,31511,29003,30810,8044560,-0.010483979332485238
2020-01-31,30909,34621,30106,31913,9028290,0.03738177489045669
2020-02-29,31311,38435,31311,34523,13365503,0.0830287277443762
2020-03-31,35025,36729,25591,31211,23847162,-0.08159359008875988
2020-04-30,31309,37835,29905,36931,16596491,0.17336869951058287
2020-05-31,36429,56098,36128,52888,33007591,0.37047822369912575
2020-06-30,52888,58005,49577,53691,27742274,0.02103968721856475
2020-07-31,54494,73861,53691,68946,30988565,0.2622471071470597
2020-08-31,69749,84399,68544,81691,28111604,0.17609402451650058
2020-09-30,82994,83496,69547,73161,16674784,-0.10518599733418532
2020-10-31,72357,77675,65132,66236,10080252,-0.09582613805043372
2020-11-30,66335,76370,65834,73863,13366537,0.11339011947805366
2020-12-31,74164,79281,73362,78179,13553300,0.05965941449253276
2021-01-31,78680,96143,77375,88516,21725707,0.13158549947196452
2021-02-28,87512,104172,85304,97949,14329717,0.10585796624004584
2021-03-31,100157,101360,87211,99956,12100222,0.024762894457549756
2021-04-30,100357,132500,0,113500,70891068,0.13480640177611936
2021-05-31,112500,125500,108000,123000,50727432,0.0835800788429023
2021-06-30,123500,173000,123000,163000,124338901,0.29253509443356085
2021-07-31,164000,165500,142500,147000,91142714,-0.10049191269123747
2021-08-31,147000,155000,141000,155000,54240960,0.05658836381872501
2021-09-30,155000,157500,114000,118000,122697819,-0.26135063575624795
2021-10-31,118000,130500,110500,125500,57516310,0.06818935521146452
2021-11-30,126000,131000,121500,122000,50391276,-0.02411974448483223
2021-12-31,121500,124000,112500,112500,34418041,-0.0790510977568315
2022-01-31,113500,117000,82200,85000,67362020,-0.2726923116467811
2022-02-28,87100,95000,84500,94100,49646154,0.10689843047691183
2022-03-31,94400,110000,89600,106500,48471677,0.12980845837869348
2022-04-30,105500,108000,87600,89900,31610295,-0.16590989540890744
2022-05-31,88400,91900,80000,85000,35611165,-0.0502208266145755
2022-06-30,84000,87400,66700,69900,38118975,-0.1880615624298113
2022-07-31,70000,75600,66200,74800,30423526,0.07296142008778317
2022-08-31,74800,84300,71500,73400,37365973,-0.009672974520574917
2022-09-30,72300,72500,55000,57100,29609838,-0.24630608809816967
2022-10-31,57700,58100,46500,50700,64147607,-0.10604910198269468
2022-11-30,50400,61000,48950,56400,71561732,0.12288422050704739
2022-12-31,59200,59700,52700,53100,33393351,-0.05439142264231289
2023-01-31,53600,65500,51400,61400,43113522,0.15254017947050957
2023-02-28,62000,71300,61000,62400,51391880,0.022817907319840125
2023-03-31,62200,63800,57500,61100,44325794,-0.016232374311289877
2023-04-30,61400,61600,55300,58100,33895780,-0.04763568864580747
2023-05-31,58200,58900,55600,56200,26107371,-0.031867775603520276
2023-06-30,56300,58000,48400,49100,33120435,-0.13327114532921114
